"âge m.","das alter"
"grands-parents m.","die großeltern"
"grenouille f.","der frosch"
"gants m.","die handschuhe"
"garçon, garçons m.","der junge"
"gâteaux m.","die pfannkuchen"
"gauche","links"
"gens m./f.","die leute"
"gentil, gentille","brav, freundlich, artig"
"glace f.","das eis"
"glaçon m.","der eiswürfel"
"grêle f.","der hagel"
"grand, grande","groß, weit"
"grand-mère f.","die großmutter"
"grondement, grondements m.","das brausen, das grollen"
"habiter","wohnen"
"hamster m.","der hamster"
"hanche, hanches f.","die hüfte"
"heure f.","die stunde, die uhr"
"heureux, heureuse","glücklich, froh"
"hiver m.","der winter"
"horrible","schrecklich, entsetzlich"
"harpe f.","die harfe"
"herbe f.","das gras"
"heureusement","glücklicherweise, zum glück"
"humains m.","die menschen"
"il était une fois","es war einmal"
"ils, elles","sie (plural)"
"international","international"
"il y a","es gibt"
"imaginer","vorstellen"
"important","wichtig, bedeutend"
"incroyable","unglaublich"
"jambe, jambes f.","das bein"
"jeudi","donnerstag"
"jeune","jung, klein"
"jouer","spielen"
"jour m.","der tag"
"journée f.","der tag, der tagesablauf"
"jupe, jupes f.","der rock"
"jaune","gelb"
"je suis","ich bin"
"jeu m.","das spiel"
"juste","genau, richtig, korrekt"
"laid, laide","hässlich, unschön"
"laisser","lassen"
"lapin, lapins m.","das kaninchen"
"leçon f.","die lektion"
"léger","leicht, leise"
"lentement","langsam"
"lever","aufgehen, anbrechen"
"leur","ihnen, ihr"
"liévre m.","der hase"
"livre m.","das buch"
"long","lang"
"lourd","schwer"
"lune f.","der mond"
"lamproie f.","das neunauge"
"lendemain m.","nächster tag, folgender tag"
"loin","entfernt, weit, fern"
"longtemps","lange"
"lui","ihm"
"mademoiselle f.","das fräulein"
"magie f.","die magie, die zauberkunst"
"magique","magisch, zauberhaft"
"maintenant","bis jetzt, nun, jetzt"
"main, mains f.","die hand"
"mais","aber, sondern"
"maison f.","das heim, das haus"
"malin","klug, schlau, clever"
"manger","essen, aufessen"
"marché m.","der markt"
"marcher","gehen, auftreten"
"massue f.","die keule"
"matin m.","der morgen, die frühe"
"mauvais","schlecht, schlimm"
"méchante, méchantes","böse, gemein"
"merci","danke"
"mieux","besser"
"minuit m.","die mitternacht"
"moi","ich"
"mon","mein"
"monde m.","die welt, die leute"
"mot, mots m.","das wort"
"ma","mein, meine"
"maçon m.","der maurer"
"magnifique","großartig, herrlich"
"maman f.","die mama"
"meilleur","besser"
"menuisier m.","der tischler"
"mère f.","die mutter"
"merveilleux","fabelhaft, wunderbar"
"métier, métiers m.","der beruf"
"meunier m.","der müller"
"milieu m.","die mitte"
"moisson f.","die ernte"
"moment m.","der moment, der augenblick"
"moudre","mahlen, schroten"
"moule, moules f.","die muschel"
"moulin á eau m.","die wassermühle"
"neige f.","der schnee"
"ne … ni","weder … noch"
"ne … pas","nicht"
"ne … rien","nichts"
"nez m.","die nase"
"noir, noire","schwarz, dunkel"
"non","nein"
"nouveau, nouvelle","neu"
"nuage m.","die wolke"
"nuit f.","die nacht"
"nager","schwimmen"
"nénuphar, nénuphars m.","die seerose"
"ne … que","nur"
"neveu, neveux m.","der neffe"
"nièce f.","die nichte"
"noël m.","weihnachten"
"notre","unser, unsere"
"œil m.","das auge"
"on peut","man kann"
"orage m.","das gewitter"
"oreille, oreilles f.","das ohr"
"original, originale","originell, ausgefallen"
"où","wo, wohin"
"oui","ja"
"objet, objets m.","der gegenstand, die dinge"
"oncle m.","der onkel"
"ondin, ondins m.","der wassermann"
"ombre, ombres f.","der schatten"
"papier m.","das papier"
"par cœur","auswendig"
"parler","sprechen, reden"
"pastèque, pastèques f.","die wassermelone"
"pauvre","arm, armer"
"père m.","der vater"
"personne","niemand, keiner"
"petit, petite","klein, kleine"
"peu","wenig, mäßig"
"piano m.","das klavier"
"pied, pieds m.","der fuß"
"place f.","der platz, der ort"
"plein, pleine","voll"
"pleuvoir","regnen"
"pluie f.","der regen"
"poire, poires f.","die birne"
"pomme, pommes f.","der apfel"
"potiron, potirons m.","der kürbis"
"pour","für"
"pourquoi","warum, weshalb"
"pouvoir, pouvoirs m.","die macht, die kraft"
"pouvoir","können"
"précaution, précautions f.","die vorsicht"
"presque","beinahe, fast, nahezu"
"pain m.","das brot"
"parce que","weil"
"parents m.","die eltern"
"pas","nicht"
"passer","vergehen, ereignen"
"pêcher","fischen, angeln"
"pêcheur m.","der fischer, der angler"
"pierre, pierres f.","der stein"
"plante, plantes f.","die pflanze"
"planète, planètes f.","der planet"
"plaire","gefallen, behagen, belieben"
"plaisir m.","die freude, das vergnügen"
"pleine lune f.","der vollmond"
"plusiers","mehrere, viele"
"poisson, poissons m.","der fisch"
"pommes de terre","die kartoffeln"
"précieux","kostbar, wertvoll"
"premier, première","erstmalig, anfänglich, erst"
"printemps m.","der frühling"
"prochain, prochaine","nächster, nachfolgend"
"profond, profonde","tief, abgründig, abgrundtief"
"promettre","versprechen"
"puce d‘eau, puces d‘eau f.","der wasserfloh"
"puis","dann"
"que","das, denn, was, dass"
"quel, quelle","welcher, welche, was für ein …"
"queue f.","der schwanz"
"qui","wer"
"quitter","verlassen"
"quand","als, wann, wenn"
"quelques","einige"
"renard m.","der fuchs"
"rhume m.","die erkältung"
"riche","reich, gehaltvoll, begütert"
"rouge","rot"
"raison f.","der anlass, die ursache"
"regarder","anschauen, gucken, sehen"
"ramper","kriechen"
"récolter","ernten"
"réparer","reparieren"
"rester","bleiben, verbleiben"
"rêve, rêves m.","der traum, die träume"
"réveiller","aufwachen"
"rond, ronde","rund"
"roseau, roseaux m.","das schilf"
"roue f.","das rad"
"salut!","hallo!"
"satisfait, satisfaite","zufrieden"
"savoir","wissen, können"
"semaine f.","die woche"
"sentir","riechen, duften, fühlen, empfinden"
"seul, seule","allein"
"si","so, ob, doch, falls"
"soir m.","der abend"
"soleil m.","die sonne"
"son","sein"
"sorcière f.","die hexe"
"souris f.","die maus"
"sur","auf, über"
"saison f.","die jahreszeit"
"saule m.","die weide"
"scintillant","glitzernd"
"servant, servantes m.","der diener, die bediensteten"
"sœur, sœurs f.","die schwester"
"soixante-sept","siebenundsechzig"
"sombre","dunkel, düster, finster"
"sot m.","der dummkopf, der narr"
"sous","unter"
"souvent","oft"
"spécial, spéciale","besonders, bestimmte"
"super","super, klasse"
"sur la gauche","links"
"sûr","sicher"
"taper","klatschen"
"tasse f.","die tasse"
"tempête f.","der sturm, das unwetter"
"temps m.","das wetter, die zeit"
"tenir","halten, haben"
"tête f.","der kopf"
"thé m.","der tee"
"ton","dein"
"tomber","fallen, regnen, schneien"
"tonnerre m.","der donner, das donnerwetter"
"tornade f.","der tornado, der wirbelwind"
"tortue f.","die schildkröte"
"tous","alle, jeden"
"tout, toute","ganz"
"travailler","arbeiten"
"très","sehr"
"triste","traurig"
"trop","zu, zu sehr"
"tu","du"
"tante f.","die tante"
"temps à autre","hin und wieder, ab und zu"
"terre f.","die erde, der boden"
"tiède","lauwarm, warm"
"toi, tu","du"
"toit m.","das dach"
"triton, tritons m.","der molch"
"tourne","umdrehen, umschlagen"
"très bien","perfekt"
"trou, trous m.","das loch"
"truite, truites f.","die forelle"
"tuile f.","der ziegel"
"vallée f.","das tal"
"valoir","kosten, wert sein"
"vendredi","freitag"
"venir","kommen, herkommen"
"vent m.","der wind"
"ventre m.","der bauch"
"vert, verte","grün"
"vie f.","das leben"
"vieux, vieille","alt"
"vingt-seis","sechsundzwanzig"
"vingt-sept","siebenundzwanzig"
"visage m.","das gesicht"
"vite","schnell, rasch"
"vivre","leben, wohnen"
"voilà","da ist, da"
"voir","sehen, ansehen, besuchen"
"volant, volante","fliegende"
"voler","fliegen"
"vous","euch, ihnen, ihr"
"vrai, vraie","echt, wahr, richtig"
"vraiment","echt, ehrlich, wahrhaftig, wirklich"
"vendre","verkaufen"
"ver, vers m.","der wurm"
"vider","ausleeren, leeren, entleeren"
"voici","hier, hier ist"
"voie lactée f.","die milchstraße"
"vôtre","euer, ihr"
"yeux","die augen"
"conjugué »craindre«","fürchten<br>je crains<br>tu crains<br>il/elle/on craint<br>nous craignons<br>vous craignez<br>ils/elles craignent"
"conjugué »coudre«","nähen<br>je couds<br>tu couds<br>il/elle/on coud<br>nous cousons<br>vous cousez<br>ils/elles cousent"
"conjugué »boire«","trinken<br>je bois<br>tu bois<br>il/elle/on boit<br>nous buvons<br>vous buvez<br>ils/elles boivent"
"conjugué »manger«","essen<br>je mange<br>tu manges<br>il/elle/on mange<br>nous mangeons<br>vous mangez<br>ils/elles mangent"
"conjugué »rire«","lachen<br>je ris<br>tu ris<br>il/elle/on rit<br>nous rions<br>vous riez<br>ils/elles reint"
"conjugué »savoir«","wissen<br>je sais<br>tu sais<br>il/elle/on sait<br>nous savons<br>vous savez<br>ils/elles savent"
"conjugué »ouvrir«","öffnen<br>j‘ouvre<br>tu ouvres<br>il ouvre<br>nous ouvrons<br>vous ouvrez<br>ils/elles ouvrent"
"conjugué »écrire«","schreiben<br>j‘écris<br>tu écris<br>il écrit<br>nous écrivons<br>vous écrivez<br>ils/elles écrivent"
"conjugué »lire«","lesen<br>je lis<br>tu lis<br>il/elle/on lit<br>nous lisons<br>vous lisez<br>ils/elles lisent"
"conjugué »voire«","sehen<br>je vois<br>tu vois<br>il/elle/on voit<br>nous voyons<br>vous voyez<br>ils/elles voient"
"conjugué »offrir«","anbieten<br>j‘offre<br>tu offres<br>il/elles/on offre<br>nous offrons<br>vous offrez<br>ils/elles offrent"
"conjugué »courir«","laufen<br>je cours<br>tu cours<br>il/elle/on court<br>nous courons<br>vous courez<br>ils/elles courent"
"conjugué »apercevoir«","bemerken<br>j‘aperçois<br>tu aperçois<br>il/elle/on aperçoit<br>nous apercevons<br>vous apercevez<br>ils/elles aperçoivent"
